# Use this file to actually rearrange the doors
# The current data at DOOR1 is the data for LEADS_TO
# The current offset for DOOR1 is where to write the new data
# For example, if you want Landing_Site_L1 to lead to Landing_Site_R2, you copy the 12 bytes at the Landing_Site_L1 offset (it's going to be erased), then find the door that leads to Landing_Site_R2. Copy 12 bytes of data from that offset to Landing_Site_L1's offset, and the door is swapped!
# Note that the order of rooms is the same order of the memory addresses for the rooms, which is the order the rooms are listed in in rooms.txt
# DOOR_NAME					OFFSET		LEADS_TO
# are these from ceres?
# ???						0x00188fe	???
# ???						0x0018916	???
Landing_Site_L2				0x0018916	Parlor_R1
Mount_Everest_B2			0x001a450	Fish_Tank_T2
Mount_Everest_LMB2			0x001a45c	Main_Street_RMB2
Mount_Everest_R				0x001a468	Crab_Shaft_L
McElligot's_Pool_B			0x001a474	Mount_Everest_T
McElligot's_Pool_L			0x001a480	Caterpillar_Room_R1
Watering_Hole_R				0x001a48c	Bug_Room_L
Bug_Room_L					0x001a498	Watering_Hole_R
Bug_Room_R					0x001a4a4	Pseudo_Plasma_Spark_L
Crab_Shaft_L				0x001a4b0	Mount_Everest_R
Crab_Shaft_T				0x001a4bc	Pseudo_Plasma_Spark_B
Crab_Shaft_R				0x001a4c8	Aqueduct_L1
Pseudo_Plasma_Spark_L		0x001a4d4	Bug_Room_R
Pseudo_Plasma_Spark_B		0x001a4e0	Crab_Shaft_T
# ???
#	0x001a4ec
Crab_Hole_L1				0x001a4f8	Crab_Tunnel_R
Crab_Hole_R1				0x001a504	Tiny_Crab_L
Crab_Hole_L2				0x001a510	East_Tunnel_R1
Crab_Hole_R2				0x001a51c	Maridia_Map_L
Tiny_Crab_L					0x001a528	Crab_Hole_R1
Tiny_Crab_R					0x001a534	West_Sand_Hall_L
Plasma_Tutorial_L			0x001a540	Kassiuz_R
Plasma_Tutorial_R			0x001a54c	Plasma_L
Plasma_L					0x001a558	Plasma_Tutorial_R
Thread_The_Needle_L			0x001a564	Grabber_Hole_R
Thread_The_Needle_R			0x001a570	Maridia_Elevator_L
Maridia_Elevator_L			0x001a57c	Thread_The_Needle_R
Maridia_Elevator_R			0x001a588	Maridia_First_Save_L
Maridia_Elevator_EB			0x001a594	Crateria_Maridia_Shaft_ET
Plasma_Spark_R3				0x001a5a0	Butterfly_Room_L
Plasma_Spark_B				0x001a5ac	Zip_Tube_T
Plasma_Spark_R1				0x001a5b8	Kassiuz_L
Plasma_Spark_R2				0x001a5c4	Grabber_Hole_L
Kassiuz_L					0x001a5d0	Plasma_Spark_R1
Kassiuz_R					0x001a5dc	Plasma_Tutorial_L
Maridia_Map_L				0x001a5e8	Crab_Hole_R2
Maridia_First_Save_L		0x001a5f4	Maridia_Elevator_R
Zip_Tube_B					0x001a600	Oasis_T
Zip_Tube_T					0x001a60c	Plasma_Spark_B
618
624
630
63c
648
654
660
66c
678
694
6a0
6ac
6b8
6c4
6e0
6ec
6f8
704
710
71c
728
734
740
74c
